"mouse_gene","human_gene"
"Nfe2l1","NFE2L1"
"Nfix","NFIX"
"Rtn4rl1","RTN4RL1"
"Slc9a1","SLC9A1"
"Nlgn2","NLGN2"
"Myh10","MYH10"
"Nr4a3","NR4A3"
"Notch2","NOTCH2"
"Pmaip1","PMAIP1"
"Nrp1","NRP1"
"Nipal3","NIPAL3"
"Grin2a","GRIN2A"
"Tenm4","TENM4"
"Nrg2","NRG2"
"Nrxn1","NRXN1"
"Nrxn2","NRXN2"
"Dagla","DAGLA"
"Nxn","NXN"
"Pnpla6","PNPLA6"
"Ntng2","NTNG2"
"Slco1c1","SLCO1C1"
"Slco3a1","SLCO3A1"
"Plxnd1","PLXND1"
"Ogn","OGN"
"Osbpl2","OSBPL2"
"Tnfrsf10b","TNFRSF10A"
"Tnfrsf10b","TNFRSF10B"
"Tnfrsf10b","TNFRSF10C"
"Tnfrsf10b","TNFRSF10D"
"Nfkb2","NFKB2"
"Palm","PALM"
"Supt6","SUPT6H"
"Tent4a","TENT4A"
"Paqr5","PAQR5"
"Prkn","PRKN"
"Parp14","PARP14"
"Parva","PARVA"
"Ryr2","RYR2"
"Pcdh1","PCDH1"
"Pcnx3","PCNX3"
"Pde1c","PDE1C"
"Pde5a","PDE5A"
"Pdgfa","PDGFA"
"Pdk2","PDK2"
"Hspg2","HSPG2"
"Ptpn21","PTPN21"
"Phactr4","PHACTR4"
"Jade2","JADE2"
"Phldb1","PHLDB1"
"Phyhipl","PHYHIPL"
"Pi4ka","PI4KA"
"Pidd1","PIDD1"
"Pik3r3","PIK3R3"
"Pkd1","PKD1"
"Pkn1","PKN1"
"Eif2ak2","EIF2AK2"
"Plxna1","PLXNA1"
"Porcn","PORCN"
"Pou6f1","POU6F1"
"Ppp2r2c","PPP2R2C"
"Prdm2","PRDM2"
"Psen2","PSEN2"
"Ptp4a3","PTP4A3"
"Prox2","PROX2"
"Prr5","PRR5"
"Prtg","PRTG"
"Ptk7","PTK7"
"Ptpdc1","PTPDC1"
"Ptpn23","PTPN23"
"Ptprd","PTPRD"
"Ptprs","PTPRS"
"Bbc3","BBC3"
"Purb","PURB"
"Rab11b","RAB11B"
"Rab6b","RAB6B"
"Rac3","RAC3"
"Frem1","FREM1"
"Rapgef1","RAPGEF1"
"Rapgef4","RAPGEF4"
"Rassf2","RASSF2"
"Upf1","UPF1"
"Rprm","RPRM"
"Retsat","RETSAT"
"Rgl3","RGL3"
"Rhbdf1","RHBDF1"
"Ric3","RIC3"
"Rimbp2","RIMBP2"
"Rims2","RIMS2"
"Trim12c","TRIM5"
"Trim11","TRIM11"
"Trim21","TRIM21"
"Cd180","CD180"
"Rtn2","RTN2"
"Zfp574","ZNF574"
"Ryr3","RYR3"
"Samd9l","SAMD9L"
"Fmo5","FMO5"
"Sh3yl1","SH3YL1"
"Dab2","DAB2"
"Nat8l","NAT8L"
"Tpbg","TPBG"
"Cacna1h","CACNA1H"
"Slc31a2","SLC31A2"
"Slc39a14","SLC39A14"
"Zhx3","ZHX3"
"Tln1","TLN1"
"Sult6b1","SULT6B1"
"Cast","CAST"
"Ncoa3","NCOA3"
"Sbno2","SBNO2"
"Jak3","JAK3"
"Trim16","TRIM16"
"Trim16","TRIM16L"
"Tjap1","TJAP1"
"Dock4","DOCK4"
"Trpm4","TRPM4"
"Pcdh7","PCDH7"
"Huwe1","HUWE1"
"Zfp711","ZNF711"
"Sox13","SOX13"
"Omd","OMD"
"Myo16","MYO16"
"Gbf1","GBF1"
"Fsd1l","FSD1L"
"Flrt1","FLRT1"
"Prelp","PRELP"
"Igdcc3","IGDCC3"
"Scn1b","SCN1B"
"Sdc4","SDC4"
"Sec22c","SEC22C"
"Sema5b","SEMA5B"
"Sema6d","SEMA6D"
"Plxna3","PLXNA3"
"Setd7","SETD7"
"Sh3glb2","SH3GLB2"
"Shank2","SHANK2"
"Shisa5","SHISA5"
"Lamc1","LAMC1"
"St3gal1","ST3GAL1"
"Chsy3","CHSY3"
"Ccdc157","CCDC157"
"Stat1","STAT1"
"Slc39a13","SLC39A13"
"Csmd2","CSMD2"
"Efr3b","EFR3B"
"Hykk","HYKK"
"Mid1","MID1"
"Rhpn1","RHPN1"
"Parp10","PARP10"
"Trex1","TREX1"
"Cdc42ep1","CDC42EP1"
"Mmp28","MMP28"
"Ddx24","DDX24"
"Onecut2","ONECUT2"
"Hs1bp3","HS1BP3"
"Camta2","CAMTA2"
"Tcn2","TCN2"
"Ptchd4","PTCHD4"
"Sorcs1","SORCS1"
"Stim1","STIM1"
"Mamdc2","MAMDC2"
"Caskin2","CASKIN2"
"Olfm1","OLFM1"
"Nuak1","NUAK1"
"Myh14","MYH14"
"Samd12","SAMD12"
"Srgap1","SRGAP1"
"Paqr4","PAQR4"
"Ap3d1","AP3D1"
"Cpeb3","CPEB3"
"Arhgef12","ARHGEF12"
"Top3b","TOP3B"
"Anks1b","ANKS1B"
"Ap5b1","AP5B1"
"C2cd3","C2CD3"
"Prrt2","PRRT2"
"Tmem108","TMEM108"
"Osmr","OSMR"
"Pld3","PLD3"
"Psd","PSD"
"Pigt","PIGT"
"Tmem204","TMEM204"
"Camkmt","CAMKMT"
"Kif5c","KIF5C"
"Dusp18","DUSP18"
"Taf4","TAF4"
"Olfml2a","OLFML2A"
"Tmtc4","TMTC4"
"Elk3","ELK3"
"Arvcf","ARVCF"
"Lats2","LATS2"
"Sbk1","SBK1"
"Rnf215","RNF215"
"Prrc2c","PRRC2C"
"Mlc1","MLC1"
"Grid1","GRID1"
"Tctn1","TCTN1"
"Trim62","TRIM62"
"Ranbp10","RANBP10"
"Slc19a2","SLC19A2"
"Ndrg4","NDRG4"
"Ipo4","IPO4"
"Slc25a23","SLC25A23"
"Slc22a17","SLC22A17"
"Nfatc1","NFATC1"
"Usp6nl","USP6NL"
"Setbp1","SETBP1"
"Dpp6","DPP6"
"Cpe","CPE"
"Ahdc1","AHDC1"
"Amigo1","AMIGO1"
"Bend3","BEND3"
"Map7d1","MAP7D1"
"Trim8","TRIM8"
"Klf8","KLF8"
"Fhod3","FHOD3"
"Ccdc97","CCDC97"
"Zfp423","ZNF423"
"Snap91","SNAP91"
"Hpcal4","HPCAL4"
"Dock3","DOCK3"
"Parp9","PARP9"
"Prrt1","PRRT1"
"Ndp","NDP"
"Satb2","SATB2"
"Snph","SNPH"
"Dyrk1b","DYRK1B"
"Ep400","EP400"
"Tmem184b","TMEM184B"
"Vsig10l","VSIG10L"
"Fsd1","FSD1"
"Erc1","ERC1"
"Plekha4","PLEKHA4"
"Il34","IL34"
"Cacna1e","CACNA1E"
"Zdhhc8","ZDHHC8"
"Mab21l3","MAB21L3"
"Ltbp3","LTBP3"
"Gramd1b","GRAMD1B"
"Dlgap3","DLGAP3"
"Rusc2","RUSC2"
"Ctnnal1","CTNNAL1"
"Polk","POLK"
"Klhl26","KLHL26"
"Spred3","SPRED3"
"Cand2","CAND2"
"Wdfy3","WDFY3"
"Cbx6","CBX6"
"Meak7","MEAK7"
"Fam167a","FAM167A"
"Synpr","SYNPR"
"Slc25a35","SLC25A35"
"Sv2a","SV2A"
"Apbb1","APBB1"
"Zcchc2","ZCCHC2"
"Nyap2","NYAP2"
"Rsad2","RSAD2"
"Cmpk2","CMPK2"
"Dnah7b","DNAH7"
"Dbndd2","DBNDD2"
"H2-T23","HLA-A"
"H2-T23","HLA-B"
"H2-T23","HLA-C"
"H2-T23","HLA-E"
"H2-T23","HLA-F"
"H2-T23","HLA-G"
"H2-T23","HLA-H"
"H2-D1","HLA-A"
"H2-D1","HLA-B"
"H2-D1","HLA-C"
"H2-D1","HLA-E"
"H2-D1","HLA-F"
"H2-D1","HLA-G"
"H2-D1","HLA-H"
"H2-Q4","HLA-A"
"H2-Q4","HLA-B"
"H2-Q4","HLA-C"
"H2-Q4","HLA-E"
"H2-Q4","HLA-F"
"H2-Q4","HLA-G"
"H2-Q4","HLA-H"
"Car10","CA10"
"Maneal","MANEAL"
"Acer3","ACER3"
"Nbeal2","NBEAL2"
"Tns3","TNS3"
"Tmem200a","TMEM200A"
"Tapbp","TAPBP"
"Ctxn1","CTXN1"
"Prdm8","PRDM8"
"Fndc5","FNDC5"
"Arhgap24","ARHGAP24"
"Kcnq3","KCNQ3"
"Dapk1","DAPK1"
"Abcc10","ABCC10"
"Arfgef3","ARFGEF3"
"Aff2","AFF2"
"Akna","AKNA"
"Nfia","NFIA"
"Pgbd5","PGBD5"
"Phactr2","PHACTR2"
"Btbd17","BTBD17"
"Kank4","KANK4"
"Exoc4","EXOC4"
"Plekhh2","PLEKHH2"
"Podn","PODN"
"Srpx2","SRPX2"
"Usp53","USP53"
"Ccdc136","CCDC136"
"Svip","SVIP"
"Cntnap5a","CNTNAP5"
"Fbxw9","FBXW9"
"Syt7","SYT7"
"Pde1a","PDE1A"
"Trarg1","TRARG1"
"Tmtc1","TMTC1"
"Tprn","TPRN"
"Cplane1","CPLANE1"
"Fyco1","FYCO1"
"Syn3","SYN3"
"Pclo","PCLO"
"Usp18","USP18"
"Usp18","USP41P"
"Scaf1","SCAF1"
"Tbcel","TBCEL"
"Tmem151b","TMEM151B"
"Atg2a","ATG2A"
"Cox6b2","COX6B2"
"Pfkp","PFKP"
"Cdk12","CDK12"
"Fbxl20","FBXL20"
"Tshz3","TSHZ3"
"Znrf3","ZNRF3"
"Xkr6","XKR6"
"Trim25","TRIM25"
"Chst2","CHST2"
"S100a11","S100A11"
"Sema3c","SEMA3C"
"Klhdc8b","KLHDC8B"
"Zfp865","ZNF865"
"Rhbdl3","RHBDL3"
"Unc13a","UNC13A"
"Crb1","CRB1"
"Dock6","DOCK6"
"Tox3","TOX3"
"Cacng8","CACNG8"
"Cacng7","CACNG7"
"Thbs1","THBS1"
"Ulk1","ULK1"
"Lama3","LAMA3"
"Ankrd29","ANKRD29"
"Dse","DSE"
"Tpcn1","TPCN1"
"Snx19","SNX19"
"Thsd7a","THSD7A"
"Comt","COMT"
"Amot","AMOT"
"Pex5l","PEX5L"
"Sipa1l3","SIPA1L3"
"Styk1","STYK1"
"Shank3","SHANK3"
"Mtmr9","MTMR9"
"Plekhm3","PLEKHM3"
"Map3k20","MAP3K20"
"Plcl1","PLCL1"
"Adcy1","ADCY1"
"Scmh1","SCMH1"
"Capn5","CAPN5"
"Plxna2","PLXNA2"
"Zfp526","ZNF526"
"Atxn2","ATXN2"
"Dnajb5","DNAJB5"
"Enox1","ENOX1"
"Sertad4","SERTAD4"
"Parp4","PARP4"
"Crip2","CRIP2"
"Wwc1","WWC1"
"Rnft2","RNFT2"
"Lrp11","LRP11"
"Hivep1","HIVEP1"
"Ust","UST"
"Slc24a3","SLC24A3"
"Akap13","AKAP13"
"Ntrk3","NTRK3"
"Vwa8","VWA8"
"Pigo","PIGO"
"Trpm3","TRPM3"
"Socs2","SOCS2"
"Svop","SVOP"
"Cables2","CABLES2"
"Add2","ADD2"
"Fam120c","FAM120C"
"Wdr6","WDR6"
"Atp10d","ATP10D"
"Dot1l","DOT1L"
"Arhgef19","ARHGEF19"
"Zfp385a","ZNF385A"
"Sfmbt2","SFMBT2"
"Slc41a2","SLC41A2"
"Megf11","MEGF11"
"Fgd1","FGD1"
"Efna4","EFNA4"
"Shc1","SHC1"
"Adam15","ADAM15"
"Erap1","ERAP1"
"Rasl10b","RASL10B"
"Npy1r","NPY1R"
"Zfp512b","ZNF512B"
"Rhbdd2","RHBDD2"
"Zmiz2","ZMIZ2"
"Lrrn2","LRRN2"
"Orai2","ORAI2"
"Kif1a","KIF1A"
"Abca2","ABCA2"
"Smarcd3","SMARCD3"
"Kalrn","KALRN"
"Atp7b","ATP7B"
"Ccdc85a","CCDC85A"
"Npr1","NPR1"
"Ints3","INTS3"
"Sik2","SIK2"
"Layn","LAYN"
"Hap1","HAP1"
"Slc4a8","SLC4A8"
"Dbn1","DBN1"
"Syt1","SYT1"
"Dchs2","DCHS2"
"Disp3","DISP3"
"Lamb2","LAMB2"
"Usp19","USP19"
"Caskin1","CASKIN1"
"Slc29a3","SLC29A3"
"Cep126","CEP126"
"Pdzd2","PDZD2"
"Parp8","PARP8"
"Prag1","PRAG1"
"Lmtk3","LMTK3"
"Ecm2","ECM2"
"Gpsm1","GPSM1"
"Adamts12","ADAMTS12"
"Ddb2","DDB2"
"Kcnn3","KCNN3"
"Phf11c","PHF11"
"Phf11d","PHF11"
"Mtss1","MTSS1"
"Pde3a","PDE3A"
"Iqsec1","IQSEC1"
"Sap130","SAP130"
"Fbrsl1","FBRSL1"
"Arhgap31","ARHGAP31"
"Nkain2","NKAIN2"
"Trdn","TRDN"
"Borcs6","BORCS6"
"Efhd2","EFHD2"
"Usp30","USP30"
"Arhgef4","ARHGEF4"
"Kcnn2","KCNN2"
"Espn","ESPN"
"Kcng1","KCNG1"
"Ubr4","UBR4"
"Thbs3","THBS3"
"Ppp4r4","PPP4R4"
"Col5a1","COL5A1"
"Mapkbp1","MAPKBP1"
"Palld","PALLD"
"Syn1","SYN1"
"Tmem150a","TMEM150A"
"Tcirg1","TCIRG1"
"Oplah","OPLAH"
"Ppp1r16a","PPP1R16A"
"Sympk","SYMPK"
"Sgsm2","SGSM2"
"Htr3a","HTR3A"
"Eps15l1","EPS15L1"
"Lingo4","LINGO4"
"Syngap1","SYNGAP1"
"Mctp1","MCTP1"
"Unc5d","UNC5D"
"Trim46","TRIM46"
"Samhd1","SAMHD1"
"Gatad2b","GATAD2B"
"Rap2a","RAP2A"
"Car12","CA12"
"Mta1","MTA1"
"Spaca6","SPACA6"
"Sulf2","SULF2"
"Prkx","PRKX"
"Prkx","PRKY"
"Smap2","SMAP2"
"Cdc42bpb","CDC42BPB"
"Ier5","IER5"
"Fam53b","FAM53B"
"Nuak2","NUAK2"
"Usp49","USP49"
"Apol9a","APOL1"
"Apol9a","APOL2"
"Apol9b","APOL1"
"Pcp4l1","PCP4L1"
"Glis2","GLIS2"
"Slc1a4","SLC1A4"
"Fndc10","FNDC10"
"Slc16a9","SLC16A9"
"Slc26a6","SLC26A6"
"Slc2a13","SLC2A13"
"Slc30a1","SLC30A1"
"Slc45a4","SLC45A4"
"Sytl2","SYTL2"
"Snrk","SNRK"
"Arhgap33","ARHGAP33"
"Sox21","SOX21"
"Sox8","SOX8"
"Dcc","DCC"
"Zfyve26","ZFYVE26"
"Rb1","RB1"
"Gpr173","GPR173"
"Srebf1","SREBF1"
"Srgap2","SRGAP2"
"Vangl2","VANGL2"
"Syn2","SYN2"
"Syp","SYP"
"Tead1","TEAD1"
"Tef","TEF"
"Tgfb2","TGFB2"
"Zbtb7b","ZBTB7B"
"Tek","TEK"
"Tmbim1","TMBIM1"
"Tmem104","SLC38A12"
"C2cd2l","C2CD2L"
"Tnfrsf1a","TNFRSF1A"
"Eda2r","EDA2R"
"Tom1l2","TOM1L2"
"Trp53inp2","TP53INP2"
"Lmo2","LMO2"
"Ubap2","UBAP2"
"Shc3","SHC3"
"Fcho1","FCHO1"
"Kif1b","KIF1B"
"Vil1","VIL1"
"Dcaf5","DCAF5"
"Casq2","CASQ2"
"Zfhx2","ZFHX2"
"Dcxr","DCXR"
"Pom121","POM121"
"Pom121","POM121B"
"Pom121","POM121C"
"Glis3","GLIS3"
"Sema5a","SEMA5A"
"Hdac4","HDAC4"
"Sdc3","SDC3"
"Lpcat4","LPCAT4"
"Dpp7","DPP7"
"Tram2","TRAM2"
"Smpd4","SMPD4"
"Smurf1","SMURF1"
"Ctsa","CTSA"
"Srrm1","SRRM1"
"Pid1","PID1"
"Safb2","SAFB2"
"Npl","NPL"
"Actn4","ACTN4"
"Hsdl2","HSDL2"
"BC005537","C6orf62"
"Agt","AGT"
"Vps53","VPS53"
"Larp1","LARP1"
"Pls3","PLS3"
"Sf1","SF1"
"Sfmbt1","SFMBT1"
"Arid3b","ARID3B"
"Plekhm1","PLEKHM1"
"Farp2","FARP2"
"Crim1","CRIM1"
"Atxn2l","ATXN2L"
"Aup1","AUP1"
"Irf2bpl","IRF2BPL"
"Pink1","PINK1"
"Ndor1","NDOR1"
"Tmem115","TMEM115"
"Tcp11l2","TCP11L2"
"Zswim8","ZSWIM8"
"Trp53bp1","TP53BP1"
"Ell","ELL"
"Usp13","USP13"
"Ppp1r15a","PPP1R15A"
"Uros","UROS"
"Slc26a11","SLC26A11"
"Cbl","CBL"
"Btbd9","BTBD9"
"Gbp4","GBP6"
"Gbp5","GBP5"
"Zbtb20","ZBTB20"
"Plxna4","PLXNA4"
"Helz","HELZ"
"Med26","MED26"
"Sgsh","SGSH"
"Ccdc28a","CCDC28A"
"N4bp1","N4BP1"
"Ttyh2","TTYH2"
"Tnfaip1","TNFAIP1"
"Kcnd3","KCND3"
"Klhl18","KLHL18"
"Arhgef10","ARHGEF10"
"Nol6","NOL6"
"Foxk1","FOXK1"
"Adam23","ADAM23"
"Glipr2","GLIPR2"
"Nmnat2","NMNAT2"
"Vamp2","VAMP2"
"Ak5","AK5"
"Taok2","TAOK2"
"Zfp592","ZNF592"
"Lrrc28","LRRC28"
"Syvn1","SYVN1"
"Mecp2","MECP2"
"Fosl2","FOSL2"
"Irf7","IRF7"
"Amph","AMPH"
"Erbb2","ERBB2"
"Zc3h4","ZC3H4"
"Rbms2","RBMS2"
"Bag3","BAG3"
"Pltp","PLTP"
"Fbxo25","FBXO25"
"Gcc1","GCC1"
"Nudt10","NUDT10"
"Nudt10","NUDT11"
"Reep6","REEP6"
"Csnk1g1","CSNK1G1"
"Cpped1","CPPED1"
"Baz2a","BAZ2A"
"Ormdl3","ORMDL3"
"Tpk1","TPK1"
"Angptl7","ANGPTL7"
"Dusp14","DUSP14"
"Pacrg","PACRG"
"Cnih2","CNIH2"
"Lypd6","LYPD6"
"Ccnd3","CCND3"
"Myd88","MYD88"
"Cdh6","CDH6"
"Tmem127","TMEM127"
"Srrm2","SRRM2"
"Dpf1","DPF1"
"Reep2","REEP2"
"Gfra1","GFRA1"
"Rgs16","RGS16"
"Ctns","CTNS"
"Abhd4","ABHD4"
"Iglon5","IGLON5"
"Dnajb9","DNAJB9"
"Slc29a2","SLC29A2"
"Rnf152","RNF152"
"Gdi1","GDI1"
"Ei24","EI24"
"Phkg1","PHKG1"
"Gmpr","GMPR"
"Gnb1l","GNB1L"
"Man2b1","MAN2B1"
"Bscl2","BSCL2"
"Rhod","RHOD"
"Syt13","SYT13"
"Hexa","HEXA"
"Coro7","CORO7"
"Alg3","ALG3"
"Ppp1r13l","PPP1R13L"
"Tcp11l1","TCP11L1"
"Ankrd13b","ANKRD13B"
"Astn1","ASTN1"
"Fbxl18","FBXL18"
"Tlr3","TLR3"
"Dzip1l","DZIP1L"
"Gpr55","GPR55"
"Ccdc92","CCDC92"
"Naga","NAGA"
"Cyp1b1","CYP1B1"
"St6gal1","ST6GAL1"
"Apaf1","APAF1"
"Tchp","TCHP"
"Ttll3","TTLL3"
"Ttll8","TTLL8"
"Zdhhc9","ZDHHC9"
"Ppp1r26","PPP1R26"
"Fam168a","FAM168A"
"Rnf32","RNF32"
"Morn2","MORN2"
"Tmem229b","TMEM229B"
"Rnf44","RNF44"
"Ctc1","CTC1"
"Nucb1","NUCB1"
"Tssc4","TSSC4"
"Ppm1l","PPM1L"
"Slc25a42","SLC25A42"
"Rnf225","RNF225"
"Tmem44","TMEM44"
"Rnf182","RNF182"
"N4bp2","N4BP2"
"Ttll11","TTLL11"
"Iba57","IBA57"
"Zfp523","ZNF76"
"Ppm1h","PPM1H"
"Gpr146","GPR146"
"Os9","OS9"
"Xaf1","XAF1"
"Armc7","ARMC7"
"Trim3","TRIM3"
"Zfp362","ZNF362"
"Vps37c","VPS37C"
"Ggact","GGACT"
"Rab36","RAB36"
"Tbl1x","TBL1X"
"Tbl1x","TBL1Y"
"Ids","IDS"
"Leng8","LENG8"
"Nfkbie","NFKBIE"
"Fbxl7","FBXL7"
"Mapkapk3","MAPKAPK3"
"Sytl4","SYTL4"
"G6pc3","G6PC3"
"Sh2b1","SH2B1"
"Erich3","ERICH3"
"Plbd2","PLBD2"
"Sfxn3","SFXN3"
"Atg9a","ATG9A"
"Galt","GALT"
"Cd226","CD226"
"Them5","THEM5"
"Trafd1","TRAFD1"
"Dok6","DOK6"
"Spata2","SPATA2"
"Ralgps1","RALGPS1"
"Slc22a15","SLC22A15"
"Pgap3","PGAP3"
"Zyx","ZYX"
"Lurap1","LURAP1"
"Abcd1","ABCD1"
"Anks3","ANKS3"
"Sncaip","SNCAIP"
"Abca7","ABCA7"
"Kcna2","KCNA2"
"Fam53c","FAM53C"
"Fbxo2","FBXO2"
"Unc5a","UNC5A"
"Iqck","IQCK"
"Ttc13","TTC13"
"Htr1b","HTR1B"
"Adrb1","ADRB1"
"Syt12","SYT12"
"Lrp3","LRP3"
"Lipg","LIPG"
"Dusp4","DUSP4"
"Acad11","ACAD11"
"Wasf2","WASF2"
"Herpud2","HERPUD2"
"Sf3a2","SF3A2"
"Slc46a1","SLC46A1"
"Siae","SIAE"
"Rom1","ROM1"
"Myof","MYOF"
"Med25","MED25"
"Aldh4a1","ALDH4A1"
"Mtmr4","MTMR4"
"Ascc2","ASCC2"
"Hpcal1","HPCAL1"
"Zgpat","ZGPAT"
"Slc25a39","SLC25A39"
"Bcas3","BCAS3"
"Slc5a12","SLC5A12"
"Acox3","ACOX3"
"Akap17b","AKAP17A"
"Akap17b","AKAP17BP"
"Ammecr1l","AMMECR1L"
"Sik3","SIK3"
"Nat10","NAT10"
"Tm9sf4","TM9SF4"
"Ilvbl","HACL2"
"Spef1","SPEF1"
"Pik3ip1","PIK3IP1"
"Lin7a","LIN7A"
"Scg3","SCG3"
"Fam3a","FAM3A"
"Clu","CLU"
"Klhl21","KLHL21"
"Plscr2","PLSCR1"
"Plscr2","PLSCR2"
"Stard10","STARD10"
"Ift122","IFT122"
"Zer1","ZER1"
"Bace1","BACE1"
"Tox2","TOX2"
"Adhfe1","ADHFE1"
"Pla2g7","PLA2G7"
"Dusp8","DUSP8"
"Tmem38a","TMEM38A"
"Tmem43","TMEM43"
"Slc10a3","SLC10A3"
"Tmem19","TMEM19"
"Ak1","AK1"
"Egr3","EGR3"
"Serpinf1","SERPINF1"
"Usp2","USP2"
"Tspan4","TSPAN4"
"Rgp1","RGP1"
"Macrod1","MACROD1"
"Traf3","TRAF3"
"Sntb1","SNTB1"
"Ophn1","OPHN1"
"Crebl2","CREBL2"
"Gng7","GNG7"
"Pmepa1","PMEPA1"
"Psmf1","PSMF1"
"Rgs17","RGS17"
"Ntm","NTM"
"Rab3c","RAB3C"
"Zhx2","ZHX2"
"Cpeb2","CPEB2"
"Tmem131","TMEM131"
"Ccdc30","CCDC30"
"Dnajc16","DNAJC16"
"Map1b","MAP1B"
"Dner","DNER"
"Erc2","ERC2"
"Tbkbp1","TBKBP1"
"Tulp4","TULP4"
"Sec16a","SEC16A"
"Tulp3","TULP3"
"Gab2","GAB2"
"Gab2","GAB4"
"Grin3a","GRIN3A"
"Gmip","GMIP"
"Sorcs2","SORCS2"
"Zdhhc1","ZDHHC1"
"Szt2","SZT2"
"Brsk2","BRSK2"
"Bcorl1","BCORL1"
"Lrrc7","LRRC7"
"Zmat3","ZMAT3"
"Nhsl2","NHSL2"
"Lrrk1","LRRK1"
"Mmp19","MMP19"
"Plekha6","PLEKHA6"
"Lrfn3","LRFN3"
"Capn15","CAPN15"
"Elmo2","ELMO2"
"Trip6","TRIP6"
"Tbc1d2","TBC1D2"
"Reps2","REPS2"
"Rnf111","RNF111"
"Enox2","ENOX2"
"Arhgef40","ARHGEF40"
"Man2b2","MAN2B2"
"Unc13b","UNC13B"
"Crispld2","CRISPLD2"
"Tmem132a","TMEM132A"
"Parm1","PARM1"
"Zfp319","ZNF319"
"Fgd3","FGD3"
"Efnb1","EFNB1"
"Plagl2","PLAGL2"
"Reln","RELN"
"Anxa6","ANXA6"
"Tnr","TNR"
"Disp2","DISP2"
"Sarm1","SARM1"
"Vegfc","VEGFC"
"Bcor","BCOR"
"Zbtb45","ZBTB45"
"Pygb","PYGB"
"Habp4","HABP4"
"Mbd6","MBD6"
"D630045J12Rik","KIAA1549"
"BC034090","KIAA1614"
"Tcf7","TCF7"
"Cd200","CD200"
"Ism1","ISM1"
"Vps13d","VPS13D"
"Crybb3","CRYBB3"
"Cubn","CUBN"
"Tcf19","TCF19"
"Wnt5a","WNT5A"
"Numb","NUMB"
"Btla","BTLA"
"Megf9","MEGF9"
"Scube3","SCUBE3"
"Fas","FAS"
"Slc36a1","SLC36A1"
"Ncdn","NCDN"
"Aass","AASS"
"Prdm11","PRDM11"
"Sesn2","SESN2"
"Celsr3","CELSR3"
"Fstl4","FSTL4"
"Gaa","GAA"
"Strn4","STRN4"
"Apln","APLN"
"Bmpr2","BMPR2"
"1700030J22Rik","C16orf46"
"Endod1","ENDOD1"
"Daam2","DAAM2"
"Samd4","SAMD4A"
"Grik5","GRIK5"
"Trpc1","TRPC1"
"Them6","THEM6"
"Arhgap20","ARHGAP20"
"Ciita","CIITA"
"Nes","NES"
"Pdgfc","PDGFC"
"Lrrk2","LRRK2"
"Hdc","HDC"
"Il6ra","IL6R"
"Dock5","DOCK5"
"Kif19a","KIF19"
"Nfic","NFIC"
"Sp2","SP2"
"Zfp142","ZNF142"
"Setd1a","SETD1A"
"Setd5","SETD5"
"Mbnl3","MBNL3"
"Dnah1","DNAH1"
"C030006K11Rik","C8orf82"
"Rtp4","RTP4"
"Pacs2","PACS2"
"Apc2","APC2"
"Cacna1g","CACNA1G"
"Slc23a2","SLC23A2"
"Pcdh17","PCDH17"
"Fat4","FAT4"
"Nhs","NHS"
"F8","F8"
"Tfeb","TFEB"
"Plekhg2","PLEKHG2"
"Kcnb1","KCNB1"
"Srxn1","SRXN1"
"Ifi35","IFI35"
"Ppfia3","PPFIA3"
"Dpy19l3","DPY19L3"
"Tnrc18","TNRC18"
"Git1","GIT1"
"Ppip5k1","PPIP5K1"
"Vmac","VMAC"
"Chpf","CHPF"
"Ttbk1","TTBK1"
"Gpr137b","GPR137B"
"Naglu","NAGLU"
"Cachd1","CACHD1"
"Sned1","SNED1"
"Ankrd13d","ANKRD13D"
"Ptprt","PTPRT"
"Ptprg","PTPRG"
"Atp10a","ATP10A"
"Gabrb3","GABRB3"
"Anks1","ANKS1A"
"Rnf167","RNF167"
"Prrc2b","PRRC2B"
"Nup214","NUP214"
"Ube2o","UBE2O"
"Myo9b","MYO9B"
"Iqub","IQUB"
"Cc2d1a","CC2D1A"
"Proser1","PROSER1"
"Fbxl17","FBXL17"
"Ano3","ANO3"
"Kcng3","KCNG3"
"Arsb","ARSB"
"Ogdhl","OGDHL"
"Fbrs","FBRS"
"Patz1","PATZ1"
"Mfap3l","MFAP3L"
"Cacng5","CACNG5"
"Klhl3","KLHL3"
"Adm","ADM"
"Dgki","DGKI"
"Bahd1","BAHD1"
"Mgmt","MGMT"
"Shroom3","SHROOM3"
"Cep164","CEP164"
"Phf21b","PHF21B"
"Gcnt7","GCNT7"
"Gcnt2","GCNT2"
"Snta1","SNTA1"
"Fam161b","FAM161B"
"Gal3st3","GAL3ST3"
"Gucy1a2","GUCY1A2"
"Crocc","CROCC"
"Adamts17","ADAMTS17"
"Chd3","CHD3"
"Uba7","UBA7"
"Ecm1","ECM1"
"Fam13c","FAM13C"
"Hdac5","HDAC5"
"Gan","GAN"
"Mex3a","MEX3A"
"Nckipsd","NCKIPSD"
"Dmwd","DMWD"
"Fank1","FANK1"
"Sema4d","SEMA4D"
"Rerg","RERG"
"E2f1","E2F1"
"Ralgapa2","RALGAPA2"
"Erich2","ERICH2"
"Rai2","RAI2"
"Lrp10","LRP10"
"Inf2","INF2"
"Npr2","NPR2"
"Mcc","MCC"
"Slc7a11","SLC7A11"
"Wnk2","WNK2"
"Samd14","SAMD14"
